Run_num,Dataset,Method,Percentage,accuracy_un_norm,accuracy_norm,precision,recall,f1_score_micro,f1_score_macro,test_set_size,time
4,blogcatalog,Node2Vec,20,2624,0.3180606061,0.3093200997,0.3180606061,0.3180606061,0.1850980683,8250,6652.131184
4,blogcatalog,Node2Vec,30,2448,0.3391051392,0.3191394606,0.3391051392,0.3391051392,0.2148566967,7219,6652.131184
4,blogcatalog,Node2Vec,40,2142,0.3461538462,0.3191581175,0.3461538462,0.3461538462,0.2167061016,6188,6652.131184
4,blogcatalog,Node2Vec,50,1815,0.3520170675,0.3363263029,0.3520170675,0.3520170675,0.2352487713,5156,6652.131184
4,blogcatalog,Node2Vec,60,1526,0.3699393939,0.3559306364,0.3699393939,0.3699393939,0.2469676131,4125,6652.131184
4,blogcatalog,Node2Vec,70,1114,0.360051713,0.3373547538,0.360051713,0.360051713,0.2448821426,3094,6652.131184
4,blogcatalog,Node2Vec,80,760,0.3683955405,0.3649189661,0.3683955405,0.3683955405,0.241821064,2063,6652.131184
4,blogcatalog,Node2Vec,90,413,0.4001937984,0.4229177877,0.4001937984,0.4001937984,0.2722081461,1032,6652.131184
0,homo_sapiens,Node2Vec,5,302,0.08170995671,0.1960790306,0.08170995671,0.08170995671,0.04995638212,3696,213.141521
0,homo_sapiens,Node2Vec,10,416,0.1188231934,0.1606332916,0.1188231934,0.1188231934,0.06727751941,3501,213.141521
0,homo_sapiens,Node2Vec,20,371,0.1192159383,0.1255920847,0.1192159383,0.1192159383,0.07919344072,3112,213.141521
0,homo_sapiens,Node2Vec,30,396,0.1454278369,0.1256453215,0.1454278369,0.1454278369,0.08591186892,2723,213.141521
0,homo_sapiens,Node2Vec,40,355,0.1520994002,0.1392076255,0.1520994002,0.1520994002,0.1051299574,2334,213.141521
0,homo_sapiens,Node2Vec,50,315,0.1619537275,0.1454551493,0.1619537275,0.1619537275,0.1089351214,1945,213.141521
0,homo_sapiens,Node2Vec,60,237,0.1523136247,0.1450210727,0.1523136247,0.1523136247,0.09966260711,1556,213.141521
0,homo_sapiens,Node2Vec,70,174,0.1491002571,0.1454830224,0.1491002571,0.1491002571,0.09697458968,1167,213.141521
0,homo_sapiens,Node2Vec,80,121,0.1555269923,0.1497763226,0.1555269923,0.1555269923,0.110306804,778,213.141521
0,homo_sapiens,Node2Vec,90,65,0.1670951157,0.1640275573,0.1670951157,0.1670951157,0.1127210771,389,213.141521
1,homo_sapiens,Node2Vec,5,368,0.09956709957,0.1721699733,0.09956709957,0.09956709957,0.05525587278,3696,205.296488
1,homo_sapiens,Node2Vec,10,409,0.1168237646,0.143723151,0.1168237646,0.1168237646,0.07123153267,3501,205.296488
1,homo_sapiens,Node2Vec,20,393,0.126285347,0.1491300728,0.126285347,0.126285347,0.07666131548,3112,205.296488
1,homo_sapiens,Node2Vec,30,392,0.1439588689,0.1312550858,0.1439588689,0.1439588689,0.08961615417,2723,205.296488
1,homo_sapiens,Node2Vec,40,360,0.1542416452,0.1549780212,0.1542416452,0.1542416452,0.1070334041,2334,205.296488
1,homo_sapiens,Node2Vec,50,278,0.1429305913,0.1348925815,0.1429305913,0.1429305913,0.09608934735,1945,205.296488
1,homo_sapiens,Node2Vec,60,226,0.1452442159,0.1279866016,0.1452442159,0.1452442159,0.09190961692,1556,205.296488
1,homo_sapiens,Node2Vec,70,195,0.1670951157,0.1453905111,0.1670951157,0.1670951157,0.1004212885,1167,205.296488
1,homo_sapiens,Node2Vec,80,118,0.1516709512,0.1487888214,0.1516709512,0.1516709512,0.1074305309,778,205.296488
1,homo_sapiens,Node2Vec,90,66,0.1696658098,0.2216964867,0.1696658098,0.1696658098,0.1164882493,389,205.296488
2,homo_sapiens,Node2Vec,5,299,0.0808982684,0.1760354092,0.0808982684,0.0808982684,0.04089008974,3696,202.2864113
2,homo_sapiens,Node2Vec,10,378,0.1079691517,0.1474974067,0.1079691517,0.1079691517,0.06940438693,3501,202.2864113
2,homo_sapiens,Node2Vec,20,370,0.1188946015,0.1317852415,0.1188946015,0.1188946015,0.08014012346,3112,202.2864113
2,homo_sapiens,Node2Vec,30,379,0.1391847227,0.1401456177,0.1391847227,0.1391847227,0.09056923338,2723,202.2864113
2,homo_sapiens,Node2Vec,40,361,0.1546700943,0.1408286973,0.1546700943,0.1546700943,0.0983836924,2334,202.2864113
2,homo_sapiens,Node2Vec,50,323,0.166066838,0.149233624,0.166066838,0.166066838,0.1149280088,1945,202.2864113
2,homo_sapiens,Node2Vec,60,259,0.1664524422,0.152584207,0.1664524422,0.1664524422,0.1125035564,1556,202.2864113
2,homo_sapiens,Node2Vec,70,184,0.1576692374,0.165268239,0.1576692374,0.1576692374,0.09907881768,1167,202.2864113
2,homo_sapiens,Node2Vec,80,123,0.1580976864,0.1513373541,0.1580976864,0.1580976864,0.1131356296,778,202.2864113
2,homo_sapiens,Node2Vec,90,82,0.2107969152,0.1969647768,0.2107969152,0.2107969152,0.1299643051,389,202.2864113
3,homo_sapiens,Node2Vec,5,374,0.1011904762,0.1513399678,0.1011904762,0.1011904762,0.05591037372,3696,217.8902988
3,homo_sapiens,Node2Vec,10,381,0.1088260497,0.1098829983,0.1088260497,0.1088260497,0.06410427061,3501,217.8902988
3,homo_sapiens,Node2Vec,20,400,0.1285347044,0.1337732556,0.1285347044,0.1285347044,0.07935190016,3112,217.8902988
3,homo_sapiens,Node2Vec,30,377,0.1384502387,0.147273868,0.1384502387,0.1384502387,0.09117757466,2723,217.8902988
3,homo_sapiens,Node2Vec,40,342,0.146529563,0.1327277988,0.146529563,0.146529563,0.09349068024,2334,217.8902988
3,homo_sapiens,Node2Vec,50,291,0.1496143959,0.134942996,0.1496143959,0.1496143959,0.09545238126,1945,217.8902988
3,homo_sapiens,Node2Vec,60,239,0.1535989717,0.1377012185,0.1535989717,0.1535989717,0.103642315,1556,217.8902988
3,homo_sapiens,Node2Vec,70,178,0.1525278492,0.1399983126,0.1525278492,0.1525278492,0.09697324718,1167,217.8902988
3,homo_sapiens,Node2Vec,80,120,0.1542416452,0.153085941,0.1542416452,0.1542416452,0.0909143083,778,217.8902988
3,homo_sapiens,Node2Vec,90,74,0.1902313625,0.2147171178,0.1902313625,0.1902313625,0.1516330814,389,217.8902988
4,homo_sapiens,Node2Vec,5,356,0.09632034632,0.1491701007,0.09632034632,0.09632034632,0.0500162065,3696,200.7573214
4,homo_sapiens,Node2Vec,10,405,0.1156812339,0.1308830969,0.1156812339,0.1156812339,0.06738013294,3501,200.7573214
4,homo_sapiens,Node2Vec,20,395,0.1269280206,0.1237033431,0.1269280206,0.1269280206,0.0798573293,3112,200.7573214
4,homo_sapiens,Node2Vec,30,400,0.146896805,0.1280362747,0.146896805,0.146896805,0.09835538997,2723,200.7573214
4,homo_sapiens,Node2Vec,40,355,0.1520994002,0.1341455991,0.1520994002,0.1520994002,0.09685278125,2334,200.7573214
4,homo_sapiens,Node2Vec,50,303,0.1557840617,0.1598202245,0.1557840617,0.1557840617,0.1027466473,1945,200.7573214
4,homo_sapiens,Node2Vec,60,262,0.1683804627,0.154866037,0.1683804627,0.1683804627,0.1136191885,1556,200.7573214
4,homo_sapiens,Node2Vec,70,196,0.1679520137,0.1545992899,0.1679520137,0.1679520137,0.1192975086,1167,200.7573214
4,homo_sapiens,Node2Vec,80,133,0.1709511568,0.1722725275,0.1709511568,0.1709511568,0.100605116,778,200.7573214
4,homo_sapiens,Node2Vec,90,66,0.1696658098,0.208283909,0.1696658098,0.1696658098,0.1158603866,389,200.7573214
0,wiki,Node2Vec,5,1123,0.2474113241,0.2391471935,0.2474113241,0.2474113241,0.03070754957,4539,1047.396377
0,wiki,Node2Vec,10,1146,0.2665116279,0.2662141991,0.2665116279,0.2665116279,0.03591903275,4300,1047.396377
0,wiki,Node2Vec,20,1195,0.3126635269,0.319348468,0.3126635269,0.3126635269,0.05682332461,3822,1047.396377
0,wiki,Node2Vec,30,1029,0.307715311,0.3211729958,0.307715311,0.307715311,0.05042934321,3344,1047.396377
0,wiki,Node2Vec,40,909,0.3170561563,0.3169651912,0.3170561563,0.3170561563,0.06344186832,2867,1047.396377
0,wiki,Node2Vec,50,790,0.3306822938,0.3336728671,0.3306822938,0.3306822938,0.06012356764,2389,1047.396377
0,wiki,Node2Vec,60,643,0.3364730508,0.3346511525,0.3364730508,0.3364730508,0.06849133128,1911,1047.396377
0,wiki,Node2Vec,70,520,0.3626220363,0.3485422209,0.3626220363,0.3626220363,0.09197501581,1434,1047.396377
0,wiki,Node2Vec,80,343,0.3587866109,0.3435898549,0.3587866109,0.3587866109,0.09398937102,956,1047.396377
0,wiki,Node2Vec,90,162,0.3389121339,0.3269616866,0.3389121339,0.3389121339,0.1243955713,478,1047.396377
1,wiki,Node2Vec,5,1148,0.2529191452,0.2818654537,0.2529191452,0.2529191452,0.02804632882,4539,1083.376644
1,wiki,Node2Vec,10,1141,0.2653488372,0.2697659504,0.2653488372,0.2653488372,0.0381994195,4300,1083.376644
1,wiki,Node2Vec,20,1148,0.3003663004,0.3055107424,0.3003663004,0.3003663004,0.0557629297,3822,1083.376644
1,wiki,Node2Vec,30,1063,0.3178827751,0.3199178922,0.3178827751,0.3178827751,0.06296945413,3344,1083.376644
1,wiki,Node2Vec,40,927,0.323334496,0.3196832537,0.323334496,0.323334496,0.07029472089,2867,1083.376644
1,wiki,Node2Vec,50,787,0.3294265383,0.3241125794,0.3294265383,0.3294265383,0.06888230616,2389,1083.376644
1,wiki,Node2Vec,60,620,0.3244374673,0.3234235181,0.3244374673,0.3244374673,0.06187518907,1911,1083.376644
1,wiki,Node2Vec,70,458,0.3193863319,0.3057841463,0.3193863319,0.3193863319,0.06825792363,1434,1083.376644
1,wiki,Node2Vec,80,307,0.3211297071,0.3272041169,0.3211297071,0.3211297071,0.06634138902,956,1083.376644
1,wiki,Node2Vec,90,154,0.3221757322,0.3352924759,0.3221757322,0.3221757322,0.09837250188,478,1083.376644
2,wiki,Node2Vec,5,1157,0.2549019608,0.2760479879,0.2549019608,0.2549019608,0.0288517256,4539,1047.100331
2,wiki,Node2Vec,10,1166,0.2711627907,0.2659494216,0.2711627907,0.2711627907,0.03767456874,4300,1047.100331
2,wiki,Node2Vec,20,1121,0.2933019362,0.2899743241,0.2933019362,0.2933019362,0.0466366175,3822,1047.100331
2,wiki,Node2Vec,30,1037,0.3101076555,0.3121626075,0.3101076555,0.3101076555,0.05300079215,3344,1047.100331
2,wiki,Node2Vec,40,899,0.3135681897,0.2986929523,0.3135681897,0.3135681897,0.05586803196,2867,1047.100331
2,wiki,Node2Vec,50,769,0.321892005,0.3169680979,0.321892005,0.321892005,0.06783951276,2389,1047.100331
2,wiki,Node2Vec,60,669,0.3500784929,0.3349265892,0.3500784929,0.3500784929,0.07202037446,1911,1047.100331
2,wiki,Node2Vec,70,462,0.3221757322,0.3267717038,0.3221757322,0.3221757322,0.07716672181,1434,1047.100331
2,wiki,Node2Vec,80,328,0.3430962343,0.3354231962,0.3430962343,0.3430962343,0.08031996757,956,1047.100331
2,wiki,Node2Vec,90,147,0.3075313808,0.3471819468,0.3075313808,0.3075313808,0.09000554932,478,1047.100331
3,wiki,Node2Vec,5,1200,0.2643754131,0.2792119817,0.2643754131,0.2643754131,0.03349503569,4539,1050.869247
3,wiki,Node2Vec,10,1152,0.2679069767,0.2885311351,0.2679069767,0.2679069767,0.04235845431,4300,1050.869247
3,wiki,Node2Vec,20,1158,0.3029827316,0.3046474111,0.3029827316,0.3029827316,0.0479894885,3822,1050.869247
3,wiki,Node2Vec,30,1075,0.3214712919,0.3115298223,0.3214712919,0.3214712919,0.06085076051,3344,1050.869247
3,wiki,Node2Vec,40,916,0.3194977328,0.3255193774,0.3194977328,0.3194977328,0.05755360031,2867,1050.869247
3,wiki,Node2Vec,50,781,0.3269150272,0.3321979913,0.3269150272,0.3269150272,0.06418448871,2389,1050.869247
3,wiki,Node2Vec,60,632,0.3307169021,0.3318522891,0.3307169021,0.3307169021,0.06644153431,1911,1050.869247
3,wiki,Node2Vec,70,508,0.3542538354,0.3519392092,0.3542538354,0.3542538354,0.08418888879,1434,1050.869247
3,wiki,Node2Vec,80,339,0.3546025105,0.3467010406,0.3546025105,0.3546025105,0.08356088509,956,1050.869247
3,wiki,Node2Vec,90,179,0.3744769874,0.3698328518,0.3744769874,0.3744769874,0.1013338358,478,1050.869247
4,wiki,Node2Vec,5,1193,0.2628332232,0.2742603924,0.2628332232,0.2628332232,0.02875273505,4539,1049.944584
4,wiki,Node2Vec,10,1140,0.2651162791,0.2692982026,0.2651162791,0.2651162791,0.03941678427,4300,1049.944584
4,wiki,Node2Vec,20,1142,0.2987964417,0.3102290554,0.2987964417,0.2987964417,0.05834823847,3822,1049.944584
4,wiki,Node2Vec,30,1048,0.3133971292,0.3141454193,0.3133971292,0.3133971292,0.05609624838,3344,1049.944584
4,wiki,Node2Vec,40,917,0.3198465295,0.3271185944,0.3198465295,0.3198465295,0.06226525535,2867,1049.944584
4,wiki,Node2Vec,50,771,0.3227291754,0.3009525709,0.3227291754,0.3227291754,0.0631806662,2389,1049.944584
4,wiki,Node2Vec,60,618,0.3233908948,0.3234115174,0.3233908948,0.3233908948,0.07248096091,1911,1049.944584
4,wiki,Node2Vec,70,505,0.3521617852,0.3532442243,0.3521617852,0.3521617852,0.08024499913,1434,1049.944584
4,wiki,Node2Vec,80,354,0.370292887,0.359998697,0.370292887,0.370292887,0.1059999029,956,1049.944584
4,wiki,Node2Vec,90,181,0.3786610879,0.3851509968,0.3786610879,0.3786610879,0.1500044239,478,1049.944584
0,blogcatalog,Node2Vec,5,2625,0.2679391651,0.3013815437,0.2679391651,0.2679391651,0.1315460876,9797,6762.546364
0,blogcatalog,Node2Vec,10,2692,0.290054951,0.2990275788,0.290054951,0.290054951,0.1593058269,9281,6762.546364
0,blogcatalog,Node2Vec,20,2620,0.3175757576,0.2996391717,0.3175757576,0.3175757576,0.1924907235,8250,6762.546364
0,blogcatalog,Node2Vec,30,2407,0.3334256822,0.3188556761,0.3334256822,0.3334256822,0.2131866715,7219,6762.546364
0,blogcatalog,Node2Vec,40,2101,0.3395281189,0.3244810993,0.3395281189,0.3395281189,0.2175034377,6188,6762.546364
0,blogcatalog,Node2Vec,50,1802,0.3494957331,0.3396393658,0.3494957331,0.3494957331,0.2313842792,5156,6762.546364
0,blogcatalog,Node2Vec,60,1466,0.3553939394,0.3394915447,0.3553939394,0.3553939394,0.2433241252,4125,6762.546364
0,blogcatalog,Node2Vec,70,1131,0.3655462185,0.3526906567,0.3655462185,0.3655462185,0.2545818866,3094,6762.546364
0,blogcatalog,Node2Vec,80,777,0.376635967,0.3707838369,0.376635967,0.376635967,0.2471395471,2063,6762.546364
0,blogcatalog,Node2Vec,90,371,0.359496124,0.379875496,0.359496124,0.359496124,0.238295444,1032,6762.546364
1,blogcatalog,Node2Vec,5,2416,0.2466061039,0.2615048399,0.2466061039,0.2466061039,0.1195561641,9797,6873.521967
1,blogcatalog,Node2Vec,10,2698,0.290701433,0.2939877215,0.290701433,0.290701433,0.1548048862,9281,6873.521967
1,blogcatalog,Node2Vec,20,2612,0.3166060606,0.3088142848,0.3166060606,0.3166060606,0.1895956424,8250,6873.521967
1,blogcatalog,Node2Vec,30,2486,0.3443690262,0.3368858995,0.3443690262,0.3443690262,0.2168675234,7219,6873.521967
1,blogcatalog,Node2Vec,40,2100,0.3393665158,0.320225481,0.3393665158,0.3393665158,0.2187139461,6188,6873.521967
1,blogcatalog,Node2Vec,50,1830,0.3549262995,0.3310049199,0.3549262995,0.3549262995,0.233352197,5156,6873.521967
1,blogcatalog,Node2Vec,60,1461,0.3541818182,0.3415040233,0.3541818182,0.3541818182,0.2287937145,4125,6873.521967
1,blogcatalog,Node2Vec,70,1179,0.3810601164,0.3806834972,0.3810601164,0.3810601164,0.2580139701,3094,6873.521967
1,blogcatalog,Node2Vec,80,764,0.3703344644,0.3591700643,0.3703344644,0.3703344644,0.2532530468,2063,6873.521967
